,val_auroc,val_auprc,best_auroc_during_training
catboost,0.6672256104855079,0.22014244475444728,
lightgbm,0.6671451279347183,0.22609538443288268,
average_ensemble,0.6653750860091469,0.21968755235628296,
catboost_fe,0.6631678927256598,0.21550462130104833,
xgboost,0.66198730653325,0.22147925998432008,
lightgbm_fe,0.6616156608899781,0.21751709195709493,
xgboost_fe,0.6595078506374008,0.21756444457282847,
random_forest,0.6491538805317401,0.19426608241700438,
random_forest_fe,0.642028830170334,0.19249649137032865,
mlp_fe,0.6308767334611229,0.19492353636664866,0.6323866665007891
stacking_ensemble,0.6296278184443804,0.18904199827537976,
logistic_regression,0.6274868486152886,0.19296352255546545,
logistic_regression_fe,0.6268195420437592,0.19366199803027556,
mlp_deep_learning,0.5011043622308118,0.11325939738934145,
