feature,mean_abs_shap
number_inpatient,0.24108297166326847
discharge_disposition_id,0.19726855467191373
total_prior_visits,0.09733184768686638
age,0.05336875600436611
diag_1,0.05153612628795528
diag_1_category,0.04642506132086265
number_diagnoses,0.045836914964451456
procedures_per_day,0.042464769482725234
diabetesMed,0.03972009659124302
diag_2_category,0.03356852101082396
time_in_hospital,0.031180149060602708
num_medications,0.027492215637576527
diag_3,0.025965321796508286
num_lab_procedures,0.023201326923334053
metformin,0.02288529398579814
meds_per_day,0.020866359357728195
num_meds_prescribed,0.020191571199587862
number_emergency,0.018968637672477036
insulin,0.018550117547737135
diag_2,0.017993755182799956
is_elderly,0.014994643103531175
A1Cresult,0.014748761469079911
diag_3_category,0.014598451318874278
admission_type_id,0.012408897416731695
admission_source_id,0.01238299392674529
number_outpatient,0.01209566211857631
medical_specialty,0.011466175460704655
num_med_changes,0.010706349419902918
num_procedures,0.009922265779246361
gender,0.008189191676705627
race,0.007954450750432442
glyburide,0.006855602832112503
pioglitazone,0.006441266548948756
change,0.0034305510384108695
rosiglitazone,0.0033689263742604884
glimepiride,0.0032974389164462338
max_glu_serum,0.0023916385181520245
glipizide,0.002151723895208237
glyburide-metformin,0.0014759913547063794
repaglinide,0.0011113657903594214
miglitol,0.0005421356690312594
acarbose,0.0004751121319223152
nateglinide,0.0003633647286489536
chlorpropamide,0.00018331672501239427
tolbutamide,4.545473541016494e-05
tolazamide,2.7262579835894252e-05
glipizide-metformin,3.519839556845327e-06
metformin-rosiglitazone,4.498819682519927e-07
acetohexamide,0.0
metformin-pioglitazone,0.0
citoglipton,0.0
examide,0.0
troglitazone,0.0
glimepiride-pioglitazone,0.0
