iter	Passed	Remaining
0	185	55388
1	224	33423
2	264	26230
3	307	22721
4	350	20663
5	391	19177
6	425	17829
7	455	16620
8	495	16027
9	531	15403
10	562	14789
11	599	14388
12	648	14308
13	687	14040
14	731	13895
15	767	13629
16	798	13294
17	825	12930
18	856	12660
19	885	12397
20	914	12148
21	943	11923
22	978	11787
23	1009	11609
24	1041	11452
25	1073	11313
26	1109	11218
27	1145	11126
28	1178	11009
29	1210	10896
30	1239	10756
31	1271	10648
32	1308	10586
33	1342	10503
34	1381	10463
35	1421	10425
36	1453	10330
37	1483	10225
38	1514	10135
39	1546	10050
40	1576	9958
41	1604	9855
42	1820	10882
43	1859	10816
44	1890	10712
45	1922	10618
46	1964	10572
47	1995	10478
48	2035	10425
49	2069	10346
50	2102	10265
51	2139	10201
52	2180	10163
53	2215	10092
54	2334	10399
55	2374	10345
56	2414	10295
57	2454	10240
58	2483	10143
59	2520	10083
60	2560	10030
61	2599	9979
62	2650	9969
63	2681	9888
64	2711	9801
65	2745	9732
66	2780	9669
67	2811	9592
68	2844	9523
69	2875	9448
70	2908	9380
71	2942	9318
72	2973	9247
73	3005	9179
74	3034	9103
75	3067	9040
76	3100	8979
77	3135	8923
78	3167	8860
79	3201	8803
80	3232	8738
81	3261	8671
82	3294	8614
83	3338	8585
84	3377	8542
85	3418	8505
86	3446	8438
87	3477	8377
88	3509	8319
89	3541	8263
90	3571	8202
91	3602	8145
92	3636	8095
93	3664	8031
94	3695	7975
95	3724	7914
96	3761	7872
97	3795	7824
98	3828	7773
99	3862	7725
100	3894	7674
101	3922	7614
102	3950	7554
103	3985	7510
104	4013	7454
105	4042	7398
106	4074	7349
107	4101	7291
108	4127	7231
109	4159	7185
110	4193	7140
111	4222	7088
112	4260	7050
113	4293	7005
114	4335	6974
115	4389	6962
116	4425	6922
117	4458	6877
118	4490	6829
119	4524	6786
120	4553	6735
121	4582	6686
122	4614	6640
123	4650	6600
124	4680	6553
125	4711	6507
126	4746	6466
127	4780	6423
128	4812	6379
129	4845	6336
130	4878	6293
131	4910	6250
132	4942	6205
133	4977	6165
134	5006	6119
135	5034	6071
136	5067	6029
137	5102	5989
138	5131	5943
139	5160	5897
140	5185	5847
141	5218	5806
142	5251	5765
143	5285	5726
144	5323	5690
145	5361	5654
146	5396	5616
147	5435	5582
148	5468	5541
149	5495	5495
150	5528	5455
151	5561	5415
152	5594	5375
153	5625	5333
154	5655	5290
155	5684	5247
156	5712	5202
157	5738	5157
158	5774	5120
159	5802	5076
160	5835	5038
161	5874	5004
162	5904	4962
163	5931	4918
164	5969	4884
165	5999	4842
166	6026	4799
167	6064	4764
168	6109	4735
169	6142	4697
170	6172	4656
171	6204	4617
172	6233	4576
173	6264	4536
174	6295	4496
175	6330	4460
176	6364	4422
177	6400	4386
178	6427	4345
179	6459	4306
180	6488	4265
181	6522	4228
182	6553	4189
183	6587	4152
184	6613	4111
185	6649	4075
186	6679	4036
187	6708	3996
188	6739	3957
189	6771	3920
190	6807	3885
191	6838	3846
192	6871	3809
193	6905	3773
194	6940	3737
195	6984	3706
196	7026	3673
197	7069	3641
198	7118	3612
199	7155	3577
200	7193	3543
201	7235	3510
202	7270	3474
203	7308	3439
204	7363	3412
205	7410	3381
206	7453	3348
207	7486	3311
208	7521	3274
209	7553	3237
210	7587	3200
211	7622	3164
212	7669	3132
213	7706	3097
214	7744	3061
215	7787	3028
216	7842	2999
217	7888	2967
218	7927	2931
219	7974	2899
220	8019	2866
221	8053	2829
222	8095	2795
223	8148	2764
224	8177	2725
225	8213	2689
226	8246	2651
227	8279	2614
228	8325	2581
229	8381	2550
230	8427	2517
231	8469	2482
232	8500	2444
233	8534	2407
234	8572	2371
235	8602	2332
236	8633	2295
237	8669	2258
238	8703	2221
239	8732	2183
240	8773	2147
241	8809	2111
242	8841	2073
243	8879	2037
244	8914	2001
245	8950	1964
246	8990	1929
247	9023	1892
248	9058	1855
249	9092	1818
250	9121	1780
251	9152	1743
252	9179	1705
253	9230	1671
254	9261	1634
255	9302	1598
256	9341	1563
257	9479	1543
258	9516	1506
259	9562	1471
260	9608	1435
261	9650	1399
262	9692	1363
263	9730	1326
264	9777	1291
265	9809	1253
266	9843	1216
267	9886	1180
268	9917	1142
269	9946	1105
270	9985	1068
271	10036	1033
272	10079	996
273	10116	959
274	10148	922
275	10204	887
276	10259	851
277	10299	815
278	10348	778
279	10393	742
280	10438	705
281	10492	669
282	10534	632
283	10568	595
284	10598	557
285	10669	522
286	10796	489
287	10836	451
288	10872	413
289	10909	376
290	10943	338
291	10972	300
292	11011	263
293	11043	225
294	11073	187
295	11108	150
296	11140	112
297	11171	74
298	11205	37
299	11252	0
